uni_name,adventurous,alert,altruistic,angry,anxious,arrogant,assertive,awkward,calm,cautious,chaotic,charming,chatty,cheery,codependent,confident,confidential,cruel,decisive,diligent,disorganized,distant,dominant,emotional,extrovert,feminine,ferocious,fighter,flamboyant,flexible,forgiving,funny,generous,genuine,giving,good-humored,gossiping,heroic,hesitant,humble,humorless,ignorant,impatient,impulsive,independent,insecure,intellectual,introvert,juvenile,kind,knowledgeable,lazy,logical,loud,lover,masculine,mature,messy,mischievous,modest,morning lark,neat,night owl,oblivious,open-book,optimistic,orderly,pacifist,passive,patient,pessimistic,physical,playful,quiet,receiving,reserved,respectful,rigid,rude,sarcastic,secretive,self-disciplined,selfish,serious,sheltered,sorrowful,stick-in-the-mud,stingy,street-smart,submissive,touchy-feely,vengeful,villainous,well behaved
SpongeBob SquarePants,56.67999999999999,0.0,0.0,0.0,63.32,55.160000000000004,54.239999999999995,0.0,0.0,0.0,51.82,52.67999999999999,73.02,67.52,0.0,71.2,0.0,0.0,60.6,60.1,0.0,0.0,50.38,55.9,72.54,0.0,0.0,0.0,68.34,53.54,50.019999999999996,64.86,54.18,0.0,50.38,61.7,53.720000000000006,61.12,0.0,0.0,0.0,56.0,70.86,58.52,59.75999999999999,0.0,0.0,0.0,57.2,60.08,0.0,0.0,0.0,74.3,55.260000000000005,61.4,0.0,0.0,53.34,0.0,67.86,63.5,0.0,52.06,54.959999999999994,61.8,0.0,56.96,0.0,0.0,0.0,50.78,56.4,0.0,0.0,0.0,0.0,0.0,55.379999999999995,52.48,0.0,54.879999999999995,50.739999999999995,0.0,55.92,0.0,0.0,0.0,0.0,0.0,53.620000000000005,0.0,0.0,0.0
Star Trek: The Next Generation,62.26,76.57,76.1,0.0,0.0,0.0,70.25,0.0,68.03999999999999,54.93,0.0,61.02,50.03,56.97,0.0,73.39,74.31,0.0,73.29,89.14,0.0,52.589999999999996,63.03,50.82,58.45,0.0,0.0,0.0,0.0,0.0,65.84,51.56,72.12,72.16,71.55,69.4,0.0,86.33,0.0,55.169999999999995,0.0,0.0,0.0,0.0,70.88,0.0,66.55,0.0,0.0,81.12,80.92999999999999,0.0,0.0,0.0,56.96999999999999,54.83,70.96000000000001,0.0,0.0,64.8,0.0,75.24,51.71,0.0,55.69,65.78,74.72999999999999,57.370000000000005,0.0,57.239999999999995,0.0,0.0,0.0,58.6,0.0,0.0,75.25,53.739999999999995,0.0,0.0,0.0,85.31,0.0,62.379999999999995,0.0,0.0,0.0,0.0,57.15,0.0,0.0,0.0,0.0,64.44
Star Wars,61.43333333333333,66.11666666666667,59.4,0.0,0.0,57.65,67.6,0.0,50.65,50.13333333333333,0.0,59.166666666666664,52.31666666666666,0.0,0.0,68.66666666666667,68.13333333333334,0.0,66.93333333333334,79.91666666666666,0.0,59.43333333333333,64.23333333333333,0.0,55.550000000000004,0.0,54.95000000000001,55.75,0.0,0.0,55.76666666666667,51.949999999999996,53.199999999999996,56.18333333333334,59.4,54.6,0.0,75.51666666666667,0.0,0.0,0.0,0.0,62.9,0.0,63.85,0.0,58.46666666666667,0.0,0.0,69.53333333333333,70.23333333333333,0.0,53.300000000000004,56.9,0.0,67.11666666666666,59.833333333333336,0.0,53.416666666666664,51.4,50.25,61.71666666666667,0.0,0.0,0.0,0.0,59.333333333333336,0.0,0.0,0.0,50.9,0.0,0.0,0.0,0.0,0.0,57.48333333333333,58.48333333333333,0.0,0.0,56.73333333333334,71.46666666666667,0.0,66.16666666666667,0.0,57.4,0.0,0.0,59.98333333333333,0.0,0.0,0.0,0.0,0.0
Stranger Things,69.15333333333334,62.26,60.82,0.0,65.9,0.0,61.42666666666666,0.0,0.0,0.0,63.88666666666666,51.4,52.54,0.0,0.0,55.8,61.50666666666667,0.0,57.92666666666666,71.01333333333334,0.0,54.193333333333335,61.46000000000001,52.46666666666667,52.00666666666667,0.0,59.78,53.82,53.71333333333334,51.266666666666666,52.35333333333334,61.166666666666664,57.5,0.0,60.419999999999995,54.406666666666666,0.0,74.36666666666667,0.0,50.36666666666667,0.0,0.0,66.9,58.14,62.919999999999995,0.0,57.3,0.0,0.0,70.28,63.5,0.0,0.0,57.306666666666665,0.0,52.89333333333333,50.45333333333333,61.46666666666667,63.519999999999996,0.0,0.0,0.0,69.72,0.0,0.0,0.0,0.0,0.0,0.0,0.0,52.093333333333334,0.0,0.0,0.0,0.0,0.0,54.013333333333335,0.0,0.0,54.986666666666665,60.64,50.57333333333334,0.0,51.35333333333333,0.0,55.193333333333335,0.0,0.0,60.60666666666667,0.0,0.0,0.0,0.0,0.0
Succession,0.0,54.69,0.0,51.57,61.0,72.6,50.65,52.21,0.0,50.42999999999999,55.8,0.0,0.0,0.0,59.88,0.0,0.0,59.14,51.9,71.83,0.0,58.75,0.0,0.0,54.519999999999996,0.0,56.77,55.35,55.13,0.0,0.0,51.58,0.0,0.0,0.0,0.0,52.410000000000004,0.0,0.0,0.0,0.0,0.0,63.53,0.0,0.0,50.42,66.6,0.0,56.75,0.0,51.239999999999995,0.0,52.56,0.0,0.0,55.02,0.0,0.0,60.260000000000005,0.0,50.5,59.629999999999995,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,51.980000000000004,0.0,0.0,50.04,67.81,50.17,0.0,58.55,57.23,59.05,64.59,55.06,73.6,60.510000000000005,50.309999999999995,63.339999999999996,52.42,67.09,0.0,54.55,0.0,61.260000000000005,64.01,0.0
Ted Lasso,52.89,63.63,68.07,0.0,55.15,0.0,61.63,0.0,0.0,0.0,0.0,58.260000000000005,0.0,55.910000000000004,0.0,61.49,60.11,0.0,60.260000000000005,78.78,0.0,0.0,55.95,60.75,0.0,0.0,0.0,0.0,0.0,54.56,62.989999999999995,65.66,67.55,58.21,66.59,64.21000000000001,0.0,73.93,0.0,58.17999999999999,0.0,0.0,0.0,51.67999999999999,55.54,0.0,60.07,50.35,0.0,69.07000000000001,67.44,0.0,0.0,51.15,56.8,56.17,56.370000000000005,0.0,0.0,58.1,53.88,68.65,0.0,0.0,0.0,61.910000000000004,60.120000000000005,52.98,0.0,55.33,0.0,0.0,51.63,0.0,0.0,51.6,64.26,0.0,0.0,0.0,50.07000000000001,70.95,0.0,0.0,0.0,0.0,0.0,0.0,60.89,0.0,53.120000000000005,0.0,0.0,53.85
That 70's Show,59.17,0.0,0.0,0.0,61.339999999999996,61.4,54.2,0.0,0.0,0.0,59.489999999999995,54.69,69.41,64.18,56.72,62.589999999999996,0.0,0.0,52.61,51.45,55.95,0.0,52.54,65.63,67.05,54.29,50.6,0.0,58.96,53.730000000000004,51.83,74.06,0.0,0.0,0.0,63.989999999999995,65.44,58.089999999999996,0.0,0.0,0.0,57.54,67.22,62.419999999999995,0.0,0.0,0.0,0.0,61.010000000000005,64.5,0.0,0.0,0.0,71.48,64.3,0.0,0.0,0.0,67.02,0.0,0.0,51.61999999999999,57.36,61.05,61.029999999999994,56.58,0.0,0.0,0.0,0.0,0.0,59.31,65.56,0.0,51.739999999999995,0.0,0.0,0.0,53.23,59.19,0.0,0.0,57.339999999999996,0.0,56.3,0.0,0.0,52.98,0.0,0.0,62.870000000000005,0.0,0.0,0.0
The Big Bang Theory,0.0,0.0,0.0,0.0,68.52,56.03,54.4,67.12,0.0,57.690000000000005,0.0,0.0,62.63,55.43,54.489999999999995,0.0,0.0,0.0,50.3,68.18,0.0,0.0,51.83,0.0,0.0,61.71,0.0,0.0,0.0,0.0,52.95,61.83,0.0,0.0,52.72,63.06,65.94,58.61,0.0,0.0,0.0,0.0,56.410000000000004,0.0,0.0,50.84,76.03999999999999,55.55,54.35,65.57000000000001,68.41,0.0,50.33,55.78,62.04,0.0,0.0,0.0,50.75,52.489999999999995,50.08,62.35,0.0,50.660000000000004,59.8,0.0,59.19,55.089999999999996,0.0,0.0,53.870000000000005,0.0,51.24,0.0,0.0,0.0,50.72,57.85,0.0,58.44,0.0,62.92,52.44,0.0,64.78999999999999,0.0,58.42,51.160000000000004,0.0,0.0,52.620000000000005,0.0,0.0,0.0
The Boys,50.873333333333335,66.25333333333333,0.0,62.980000000000004,63.24666666666667,60.16,63.233333333333334,0.0,0.0,0.0,53.46666666666667,53.35333333333333,0.0,0.0,0.0,50.559999999999995,64.00666666666666,54.873333333333335,60.6,75.35333333333334,0.0,56.440000000000005,60.026666666666664,62.626666666666665,51.53333333333333,0.0,66.2,60.093333333333334,52.166666666666664,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,53.72666666666667,0.0,58.96666666666667,51.64666666666667,51.96000000000001,0.0,0.0,0.0,0.0,0.0,54.42666666666666,0.0,0.0,51.526666666666664,0.0,55.54666666666667,50.12,0.0,61.980000000000004,0.0,0.0,52.64,55.99333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,57.440000000000005,58.66,0.0,0.0,50.18,53.14666666666667,0.0,61.626666666666665,56.35333333333333,54.080000000000005,71.1,63.25333333333333,60.973333333333336,62.019999999999996,0.0,66.96666666666667,0.0,57.49333333333333,55.986666666666665,0.0,0.0,69.11333333333333,52.81333333333334,0.0
The Breakfast Club,0.0,0.0,0.0,61.71666666666667,70.13333333333334,63.65,53.03333333333333,55.666666666666664,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,57.983333333333334,0.0,0.0,62.28333333333334,0.0,65.25,52.5,56.9,0.0,0.0,57.166666666666664,54.46666666666667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,54.0,0.0,55.35,0.0,65.41666666666666,52.18333333333334,57.48333333333333,67.18333333333332,53.15,52.666666666666664,62.2,53.25,50.75,0.0,0.0,50.86666666666667,0.0,61.0,0.0,0.0,51.73333333333333,53.53333333333333,51.35,50.416666666666664,0.0,52.53333333333333,0.0,0.0,52.11666666666667,0.0,0.0,0.0,70.68333333333334,0.0,0.0,0.0,58.98333333333333,55.5,0.0,68.78333333333335,57.31666666666666,61.43333333333334,66.73333333333333,56.46666666666667,59.449999999999996,60.06666666666666,61.5,71.13333333333334,60.800000000000004,59.06666666666666,0.0,0.0,0.0,56.1,50.1,0.0
The Dark Knight,53.5,69.78999999999999,55.019999999999996,52.230000000000004,0.0,56.12,72.55,0.0,57.21,56.769999999999996,0.0,69.39,0.0,0.0,0.0,75.0,73.61,0.0,73.39,83.99000000000001,0.0,61.07,67.65,0.0,53.46,0.0,62.32,63.089999999999996,0.0,0.0,0.0,0.0,55.910000000000004,54.17,53.36,0.0,0.0,57.760000000000005,0.0,0.0,52.71,0.0,50.17999999999999,0.0,64.77000000000001,0.0,71.81,0.0,0.0,55.07000000000001,69.64,0.0,58.69,0.0,0.0,73.17999999999999,65.37,0.0,52.42,54.61,0.0,70.37,64.32000000000001,0.0,0.0,50.97,63.589999999999996,0.0,0.0,0.0,0.0,0.0,0.0,54.61999999999999,0.0,56.120000000000005,58.85,58.46,0.0,0.0,69.64,77.51,0.0,69.05,0.0,61.92,0.0,0.0,66.88,0.0,0.0,58.279999999999994,0.0,0.0
The Expanse,63.93333333333334,79.93333333333334,64.93333333333334,52.15,0.0,55.53333333333333,74.26666666666667,0.0,59.81666666666666,0.0,50.6,57.73333333333333,0.0,0.0,0.0,73.61666666666667,78.53333333333333,0.0,80.05,88.53333333333333,0.0,65.43333333333334,75.56666666666666,0.0,0.0,0.0,67.61666666666667,68.36666666666666,0.0,51.333333333333336,0.0,55.75,61.53333333333333,62.81666666666667,69.73333333333333,0.0,0.0,78.01666666666667,0.0,0.0,0.0,0.0,62.483333333333334,55.88333333333333,65.60000000000001,0.0,54.38333333333333,51.300000000000004,0.0,67.26666666666667,73.11666666666667,0.0,57.56666666666667,0.0,0.0,63.5,70.76666666666667,0.0,51.81666666666666,58.050000000000004,0.0,68.46666666666667,60.833333333333336,0.0,0.0,51.666666666666664,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50.18333333333334,0.0,59.06666666666666,55.78333333333333,0.0,0.0,0.0,58.53333333333334,80.58333333333333,0.0,75.35000000000001,0.0,65.76666666666667,0.0,0.0,72.55,0.0,0.0,50.88333333333333,0.0,0.0
The Good Place,55.26666666666667,0.0,55.28333333333333,0.0,59.800000000000004,53.81666666666666,52.98333333333333,0.0,0.0,0.0,53.06666666666667,56.68333333333334,73.51666666666667,63.666666666666664,0.0,55.26666666666667,0.0,0.0,55.5,67.03333333333333,0.0,52.25,52.23333333333333,50.800000000000004,69.61666666666666,54.38333333333333,0.0,0.0,56.633333333333326,0.0,65.08333333333334,67.85,62.666666666666664,57.166666666666664,58.85,70.45,55.73333333333333,69.91666666666667,0.0,0.0,0.0,0.0,57.26666666666667,54.199999999999996,51.48333333333333,0.0,63.666666666666664,0.0,51.78333333333333,73.10000000000001,63.0,0.0,0.0,65.91666666666666,60.85,0.0,0.0,0.0,52.78333333333333,0.0,53.51666666666666,59.5,0.0,50.4,62.46666666666667,55.73333333333333,0.0,53.63333333333333,0.0,0.0,0.0,0.0,55.61666666666667,0.0,0.0,0.0,60.25,51.03333333333333,0.0,0.0,0.0,57.949999999999996,0.0,0.0,52.78333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
The Good Wife,56.666666666666664,71.08333333333333,0.0,53.083333333333336,0.0,60.550000000000004,73.71666666666667,0.0,64.86666666666666,57.53333333333333,0.0,70.88333333333334,0.0,0.0,0.0,71.0,67.66666666666666,0.0,71.28333333333333,84.71666666666667,0.0,64.83333333333334,72.83333333333333,0.0,56.98333333333333,53.333333333333336,64.91666666666666,64.48333333333333,0.0,0.0,0.0,54.300000000000004,58.35,0.0,0.0,0.0,0.0,64.48333333333333,0.0,0.0,0.0,0.0,52.416666666666664,0.0,74.85000000000001,0.0,74.3,0.0,0.0,59.949999999999996,78.61666666666666,0.0,62.46666666666667,0.0,0.0,0.0,63.76666666666666,0.0,55.96666666666667,58.23333333333333,0.0,71.55,65.01666666666667,0.0,0.0,0.0,64.88333333333334,0.0,0.0,0.0,51.53333333333333,0.0,0.0,54.583333333333336,51.85,60.083333333333336,58.85,50.51666666666667,0.0,55.98333333333333,73.0,78.61666666666666,53.71666666666667,62.833333333333336,0.0,58.06666666666666,0.0,0.0,58.050000000000004,0.0,0.0,56.76666666666667,0.0,0.0
